iter	Logloss
0	0.652138674
11	0.593750844722	0.55701885223	0.5209984791444	0.48270035255	0.452115635366	0.4219737549
7	0.388706958
8	0.362642761
9	0.3427844521010	0.3225882871111	0.3018180115
12	0.292645083
13	0.2749251545
14	0.2608379479
15	0.2463300254
16	0.2329072146
17	0.2224300967
18	0.2136038209
19	0.2048772387
20	0.1960444796
21	0.1887888304
22	0.1849106973
23	0.1791917307
24	0.1733862513
25	0.1694688665
26	0.1641985487
27	0.159992182
28	0.156300797
29	0.1523726879
30	0.1493157585
31	0.1461033661
32	0.1429584514
33	0.1403614374
34	0.137339739
35	0.1350065903
36	0.1326044713
37	0.1305294524
38	0.1289911408
39	0.1268964
40	0.1251803751
41	0.123666772
42	0.1220852317
43	0.1207872192
44	0.1194156706
45	0.1181232713
46	0.1167598698
47	0.1158170676
48	0.1149942409
49	0.1140106385
50	0.1130496375
51	0.1124520865
52	0.1113827416
53	0.1110119312
54	0.54	0.11091555	055	0.110129256	056	0.109074957	057	0.108442558	058	0.107991659	059	0.107542960	60	0.1066398061	61	0.1061401462	62	0.1056522163	63	0.104984764	064	0.1040415586
65	0.1036592004
66	0.1033504282
67	0.1028246793
68	0.1022960925
69	0.1017265599
70	0.1011592684
71	0.1006322861
72	0.1002991679
73	0.09995005687
74	0.09965148034
75	0.099187324
76	0.09886970932
77	0.098382545878	0.0974220328
79	0.09695791602
80	0.09679854226
81	0.09655613617
82	0.0960246232
83	0.09573494128
84	0.09552463492
85	0.09517041895
886	0.0956691243988788	0.102741362888	0.09498671279889	0.09471786622990	0.09449429399291	0.09423212493	92	0.0939378294	093	0.093831795	0.94	0.09334896	0.195	0.09302922976
96	0.0926198	0.0997	0.0924595103
98	0.09224250117
99	0.0920101	0.09100	0.0916102	0.09101	0.0913103	0.09102	0.0911104	0.09103	0.0908105	0.09104	0.0905106	0.09105	0.09027915356
106	0.090039357110107	0.08978549108	108	0.0895110	109	109	0.0892111	110	110	0.0890112	111	111	0.0887113	112	112	0.0885114	0.09113	0.0884115	0.09114	0.0881116	0.09115	0.0879117	0.09116	0.0876118	0.09117	0.0873552992
118	0.08717460804
119	0.08699370233
